from_bus,to_bus,mag,ang_deg
1,1,0.04969039949999532,63.43494882292201
1,2,0.024845199749997663,-116.56505117707799
1,3,0.02484519974999767,-116.56505117707799
2,1,0.024845199749997667,-116.56505117707799
2,2,0.04969039949999534,63.43494882292201
2,3,0.02484519974999768,-116.56505117707802
3,1,0.024845199749997653,-116.56505117707799
3,2,0.024845199749997677,-116.56505117707799
3,3,0.04969039949999535,63.43494882292201
