bus,va_mag_pu,va_ang_deg,vb_mag_pu,vb_ang_deg,vc_mag_pu,vc_ang_deg
1,0.0,0.0,0.0,0.0,0.0,0.0
2,6.938893903907228e-17,90.0,6.938893903907227e-17,-30.000000000000018,6.938893903907228e-17,-150.0
3,0.0,-0.0,0.0,0.0,0.0,0.0
